"","programyear","State.Abbreviation","sum"
"1",2003,"NE",1392
"2",2003,"NV",135657
"3",2003,"TX",8097
"4",2003,"WI",5105.54
"5",2004,"OH",2127
"6",2004,"SC",11702
"7",2004,"WA",22335
"8",2005,"AK",9643
"9",2005,"CA",2045
"10",2005,"IL",29304
"11",2005,"KY",293
"12",2005,"LA",186.18
"13",2005,"MA",49442
"14",2005,"MI",4102.25
"15",2005,"MT",9961
"16",2005,"NJ",2752.44
"17",2005,"OH",803.19
"18",2005,"OK",440
"19",2005,"OR",8114
"20",2005,"SC",9839
"21",2005,"TN",23746.57
"22",2005,"TX",9922
"23",2006,"AL",85941
"24",2006,"AR",73208.01
"25",2006,"AZ",26620
"26",2006,"CA",359672
"27",2006,"CO",54798
"28",2006,"CT",4802
"29",2006,"FL",468850.85
"30",2006,"GA",40490
"31",2006,"HI",9099
"32",2006,"IA",4034
"33",2006,"ID",20460
"34",2006,"IN",28131
"35",2006,"KS",7345
"36",2006,"KY",8949
"37",2006,"MA",1334
"38",2006,"MI",174422.38
"39",2006,"MN",16934
"40",2006,"MO",23348
"41",2006,"MS",4807
"42",2006,"MT",19494.21
"43",2006,"NC",83629
"44",2006,"ND",18524
"45",2006,"NE",69622.11
"46",2006,"NJ",6773
"47",2006,"NM",252652
"48",2006,"NY",190625
"49",2006,"OH",22333
"50",2006,"OK",146260
"51",2006,"OR",771
"52",2006,"PA",17418
"53",2006,"RI",34990
"54",2006,"SC",56808
"55",2006,"SD",30015.87
"56",2006,"TN",5243
"57",2006,"TX",651946
"58",2006,"UT",38634
"59",2006,"VA",2493
"60",2006,"WA",101182.2
"61",2006,"WI",558
"62",2006,"WV",10121
"63",2006,"WY",130322
"64",2007,"AL",1678704
"65",2007,"AR",3831709
"66",2007,"AZ",29343
"67",2007,"CA",4430476
"68",2007,"CO",1163188
"69",2007,"CT",105563
"70",2007,"DE",215
"71",2007,"FL",2156191.46
"72",2007,"GA",2346375
"73",2007,"HI",249047
"74",2007,"IA",19268
"75",2007,"ID",771457.94
"76",2007,"IL",34912
"77",2007,"IN",171351
"78",2007,"KS",145516
"79",2007,"KY",610309
"80",2007,"LA",42695
"81",2007,"MA",92652
"82",2007,"MD",96064
"83",2007,"ME",2418
"84",2007,"MI",1577084
"85",2007,"MN",244604
"86",2007,"MO",258530
"87",2007,"MS",226207
"88",2007,"MT",180633
"89",2007,"NC",1414697.28
"90",2007,"ND",115385
"91",2007,"NE",1688038.96
"92",2007,"NH",20751
"93",2007,"NJ",255533
"94",2007,"NM",1765666
"95",2007,"NV",1292658
"96",2007,"NY",963765
"97",2007,"OH",629326
"98",2007,"OK",574469
"99",2007,"OR",496266
"100",2007,"PA",77221
"101",2007,"PR",7682
"102",2007,"SC",1137049
"103",2007,"SD",4887371
"104",2007,"TN",441635
"105",2007,"TX",1238595
"106",2007,"UT",2984516
"107",2007,"VA",346351
"108",2007,"VT",412
"109",2007,"WA",854868.67
"110",2007,"WI",339306
"111",2007,"WV",65570
"112",2007,"WY",1227543.9
"113",2008,"AL",678111
"114",2008,"AR",649657
"115",2008,"AZ",48385
"116",2008,"CA",11048630
"117",2008,"CO",4279667.58
"118",2008,"CT",746208
"119",2008,"DE",14808
"120",2008,"FL",3453207
"121",2008,"GA",2104057
"122",2008,"HI",1181832
"123",2008,"IA",243877
"124",2008,"ID",1053012
"125",2008,"IL",85429
"126",2008,"IN",111031
"127",2008,"KS",522071
"128",2008,"KY",1313253
"129",2008,"LA",171644
"130",2008,"MA",374522
"131",2008,"MD",34548
"132",2008,"ME",45477
"133",2008,"MI",1575239
"134",2008,"MN",291242
"135",2008,"MO",227675
"136",2008,"MS",434123
"137",2008,"MT",446962.19
"138",2008,"NC",2320379
"139",2008,"ND",1396231
"140",2008,"NE",163881
"141",2008,"NH",63722
"142",2008,"NJ",580770
"143",2008,"NM",2033795.97
"144",2008,"NV",1069949
"145",2008,"NY",1089652
"146",2008,"OH",1956346
"147",2008,"OK",7115917
"148",2008,"OR",782133
"149",2008,"PA",58083
"150",2008,"PR",28013
"151",2008,"RI",66520
"152",2008,"SC",1589109
"153",2008,"SD",284781
"154",2008,"TN",412388
"155",2008,"TX",11179428.56
"156",2008,"UT",2983563
"157",2008,"VA",684428
"158",2008,"VT",78999
"159",2008,"WA",775683
"160",2008,"WI",930790
"161",2008,"WV",783
"162",2008,"WY",63567
"163",2009,"AL",1333341
"164",2009,"AR",1081711
"165",2009,"AZ",1044183
"166",2009,"CA",15856532.53
"167",2009,"CO",1343132
"168",2009,"CT",833695.97
"169",2009,"DE",73800
"170",2009,"FL",6458205.04
"171",2009,"GA",2269627.31
"172",2009,"HI",1414823.14
"173",2009,"IA",149431
"174",2009,"ID",351504
"175",2009,"IL",25435
"176",2009,"IN",441219
"177",2009,"KS",484778
"178",2009,"KY",267974.01
"179",2009,"L5",4395
"180",2009,"LA",31378
"181",2009,"MA",1050010
"182",2009,"MD",14275
"183",2009,"ME",63388.04
"184",2009,"MI",1109001.64
"185",2009,"MN",551017
"186",2009,"MO",165437.67
"187",2009,"MS",4378389.62
"188",2009,"MT",504637.93
"189",2009,"NC",1844234.35
"190",2009,"ND",133681.62
"191",2009,"NE",151559
"192",2009,"NH",61583
"193",2009,"NJ",980345
"194",2009,"NM",6321466.73
"195",2009,"NV",467400.58
"196",2009,"NY",1730090
"197",2009,"OH",1949267.83
"198",2009,"OK",7504259.64
"199",2009,"OR",506255
"200",2009,"PA",181328
"201",2009,"PR",73470
"202",2009,"RI",232370.06
"203",2009,"SC",579443.15
"204",2009,"SD",879171
"205",2009,"TN",319538.16
"206",2009,"TX",18641915.3
"207",2009,"UT",1813963
"208",2009,"VA",96477
"209",2009,"VT",63826
"210",2009,"WA",1443911
"211",2009,"WI",205282.75
"212",2009,"WV",16129
"213",2009,"WY",2536707.78
"214",2010,"AL",4679718.85
"215",2010,"AR",8414115
"216",2010,"AZ",41907
"217",2010,"CA",709647
"218",2010,"CO",1161875
"219",2010,"CT",479963
"220",2010,"DE",52
"221",2010,"FL",11841386.94
"222",2010,"GA",2951743
"223",2010,"HI",3477900
"224",2010,"IA",224719
"225",2010,"ID",439385
"226",2010,"IL",58217
"227",2010,"IN",226564
"228",2010,"KS",118711
"229",2010,"KY",875594
"230",2010,"LA",63279
"231",2010,"MA",617784.38
"232",2010,"MD",5993
"233",2010,"ME",27839
"234",2010,"MI",2860385
"235",2010,"MN",354047
"236",2010,"MO",339130
"237",2010,"MS",225871
"238",2010,"MT",102180
"239",2010,"NC",2892893
"240",2010,"ND",66600
"241",2010,"NE",111919
"242",2010,"NH",31637
"243",2010,"NJ",454419
"244",2010,"NM",894602.23
"245",2010,"NV",514238
"246",2010,"NY",880227
"247",2010,"OH",1872931
"248",2010,"OK",1778564
"249",2010,"OR",784505
"250",2010,"PA",120332
"251",2010,"PR",239604
"252",2010,"RI",22724
"253",2010,"SC",2422841
"254",2010,"SD",695323
"255",2010,"TN",794915
"256",2010,"TX",1520002
"257",2010,"UT",309909
"258",2010,"VA",625641
"259",2010,"VI",22680
"260",2010,"VT",73817
"261",2010,"WA",376337
"262",2010,"WI",709376
"263",2010,"WV",32753
"264",2010,"WY",196053.05
"265",2011,"AK",31174
"266",2011,"AL",4708162
"267",2011,"AR",18773403.86
"268",2011,"AS",47536
"269",2011,"AZ",1042275
"270",2011,"CA",5847497.99
"271",2011,"CO",9786722.75
"272",2011,"CT",1339482
"273",2011,"DE",79953
"274",2011,"FL",8178222.78
"275",2011,"GA",6175143
"276",2011,"GU",42454
"277",2011,"HI",2859761.89
"278",2011,"IA",145146
"279",2011,"ID",205479
"280",2011,"IL",134277
"281",2011,"IN",330522
"282",2011,"KS",2843725.16
"283",2011,"KY",230806
"284",2011,"LA",2884381
"285",2011,"MA",912136
"286",2011,"MD",161399
"287",2011,"ME",19203
"288",2011,"MI",1561848.81
"289",2011,"MN",403732
"290",2011,"MO",1431606
"291",2011,"MS",435824
"292",2011,"MT",567562
"293",2011,"NC",3417607.67
"294",2011,"ND",128767
"295",2011,"NE",76524
"296",2011,"NH",21155
"297",2011,"NJ",1418354
"298",2011,"NM",23904491.87
"299",2011,"NV",55799
"300",2011,"NY",2416896
"301",2011,"OH",2601610
"302",2011,"OK",45782429.78
"303",2011,"OR",565573
"304",2011,"PA",769822
"305",2011,"PR",393007.01
"306",2011,"RI",160353
"307",2011,"SC",2803612
"308",2011,"SD",232115
"309",2011,"TN",793160
"310",2011,"TX",99103177.26
"311",2011,"UT",141750.99
"312",2011,"VA",326460
"313",2011,"VI",7458
"314",2011,"VT",98776
"315",2011,"WA",911173
"316",2011,"WI",682622
"317",2011,"WV",90027
"318",2011,"WY",24223
"319",2012,"AK",29792
"320",2012,"AL",3079555
"321",2012,"AR",31692533.52
"322",2012,"AZ",1889771
"323",2012,"CA",11110799.95
"324",2012,"CO",19488035.25
"325",2012,"CT",613834
"326",2012,"FL",2918089
"327",2012,"GA",6555457
"328",2012,"HI",4544438.62
"329",2012,"IA",298663
"330",2012,"ID",1525610.56
"331",2012,"IL",386420
"332",2012,"IN",608478
"333",2012,"KS",6091312.04
"334",2012,"KY",620806.56
"335",2012,"LA",470847
"336",2012,"MA",218744
"337",2012,"MD",31175
"338",2012,"ME",28983
"339",2012,"MI",9100117.85
"340",2012,"MN",426884
"341",2012,"MO",4717949.43
"342",2012,"MS",1480159
"343",2012,"MT",12988613.79
"344",2012,"NC",2154415
"345",2012,"ND",3232061
"346",2012,"NE",8518714.12
"347",2012,"NH",81307.35
"348",2012,"NJ",283822
"349",2012,"NM",33724124.79
"350",2012,"NV",2479261
"351",2012,"NY",1883853
"352",2012,"OH",1685316
"353",2012,"OK",49120490.25
"354",2012,"OR",1027888
"355",2012,"PA",248946
"356",2012,"PR",351606.39
"357",2012,"RI",4046
"358",2012,"SC",393404
"359",2012,"SD",37566011
"360",2012,"TN",960903
"361",2012,"TX",49502783.44
"362",2012,"UT",6038859.59
"363",2012,"VA",529898
"364",2012,"VT",34544
"365",2012,"WA",343845
"366",2012,"WI",712647.5
"367",2012,"WV",86946
"368",2012,"WY",13887780
"369",2012,NA,44886.1
"370",2013,"AK",33597
"371",2013,"AL",1596117.45
"372",2013,"AR",868812
"373",2013,"AZ",487215
"374",2013,"CA",20071102.09
"375",2013,"CO",15811993.72
"376",2013,"CT",426525
"377",2013,"DE",223482
"378",2013,"FL",2439070.07
"379",2013,"GA",1899014.97
"380",2013,"GU",29505
"381",2013,"HI",3077462
"382",2013,"IA",119826
"383",2013,"ID",1528943.64
"384",2013,"IL",188386
"385",2013,"IN",218721
"386",2013,"KS",4501904
"387",2013,"KY",80957
"388",2013,"LA",157776
"389",2013,"MA",404698
"390",2013,"MD",454983
"391",2013,"ME",13895
"392",2013,"MI",608008
"393",2013,"MN",400695
"394",2013,"MO",45001
"395",2013,"MS",192669
"396",2013,"MT",268557
"397",2013,"NC",2004378
"398",2013,"ND",112470
"399",2013,"NE",6092094.72
"400",2013,"NH",36254
"401",2013,"NJ",801441
"402",2013,"NM",16956081.02
"403",2013,"NV",3152799
"404",2013,"NY",1155258
"405",2013,"OH",838303
"406",2013,"OK",27537118.77
"407",2013,"OR",2794114
"408",2013,"PA",142511
"409",2013,"PR",256805
"410",2013,"RI",90832
"411",2013,"SC",539748
"412",2013,"SD",1755215
"413",2013,"TN",295374
"414",2013,"TX",44682755.35
"415",2013,"UT",1971376
"416",2013,"VA",129504
"417",2013,"VT",116485
"418",2013,"WA",632657.35
"419",2013,"WI",349743
"420",2013,"WY",5929647.16
"421",2014,"AK",20449
"422",2014,"AL",2686588.01
"423",2014,"AR",1273601
"424",2014,"AZ",63973
"425",2014,"CA",29934440.53
"426",2014,"CO",4397547
"427",2014,"CT",88734
"428",2014,"DE",1772
"429",2014,"FL",2000832.5
"430",2014,"GA",1683907
"431",2014,"GU",108010
"432",2014,"HI",179940
"433",2014,"IA",68661
"434",2014,"ID",651837
"435",2014,"IL",22005
"436",2014,"IN",237638
"437",2014,"KS",1343569.24
"438",2014,"KY",160019
"439",2014,"LA",72558
"440",2014,"MA",252168
"441",2014,"MD",1750
"442",2014,"ME",13538
"443",2014,"MI",1162346
"444",2014,"MN",286049
"445",2014,"MO",212301
"446",2014,"MP",1750
"447",2014,"MS",89869
"448",2014,"MT",694563
"449",2014,"NC",1264681
"450",2014,"ND",161575
"451",2014,"NE",431281
"452",2014,"NH",31938
"453",2014,"NJ",414997
"454",2014,"NM",4248849.97
"455",2014,"NV",1398131
"456",2014,"NY",762625
"457",2014,"OH",837427
"458",2014,"OK",19399520.49
"459",2014,"OR",2172098
"460",2014,"PA",140863
"461",2014,"PR",763431.47
"462",2014,"RI",500
"463",2014,"SC",253749
"464",2014,"SD",261551
"465",2014,"TN",196775
"466",2014,"TX",44326875.51
"467",2014,"UT",578157
"468",2014,"VA",103643
"469",2014,"VT",15355
"470",2014,"WA",684084
"471",2014,"WI",287604
"472",2014,"WV",16131
"473",2014,"WY",23046
"474",2014,NA,5386
"475",2015,"AK",64542
"476",2015,"AL",3232405
"477",2015,"AR",5113517
"478",2015,"AZ",87577
"479",2015,"CA",18393429.08
"480",2015,"CO",4399054.83
"481",2015,"CT",147993
"482",2015,"FL",4238294.32
"483",2015,"GA",2572443.85
"484",2015,"GU",52163
"485",2015,"HI",1430680
"486",2015,"IA",695881
"487",2015,"ID",1027051
"488",2015,"IL",743253
"489",2015,"IN",1155313
"490",2015,"KS",437978
"491",2015,"KY",565547.84
"492",2015,"LA",965226
"493",2015,"MA",241671
"494",2015,"MD",97929
"495",2015,"ME",51470
"496",2015,"MI",4110198.29
"497",2015,"MN",294065.89
"498",2015,"MO",446245
"499",2015,"MP",16950
"500",2015,"MS",1675685
"501",2015,"MT",7001941.53
"502",2015,"NC",5159146.49
"503",2015,"ND",76802
"504",2015,"NE",347429
"505",2015,"NH",63283
"506",2015,"NJ",895745.86
"507",2015,"NM",1642893.25
"508",2015,"NV",4069593
"509",2015,"NY",2894611.31
"510",2015,"OH",2822957.71
"511",2015,"OK",1441903
"512",2015,"OR",6301249
"513",2015,"PA",463036
"514",2015,"PR",2518203.46
"515",2015,"RI",47724
"516",2015,"SC",1516829.32
"517",2015,"SD",1730799
"518",2015,"TN",880232
"519",2015,"TX",11339123.91
"520",2015,"UT",496329
"521",2015,"VA",310732
"522",2015,"VT",244531
"523",2015,"WA",2497623
"524",2015,"WI",1469045
"525",2015,"WV",88348
"526",2015,"WY",40664
"527",2015,NA,5683
"528",2016,"AK",3918
"529",2016,"AL",31161725.05
"530",2016,"AR",1161590.28
"531",2016,"AZ",734676
"532",2016,"CA",2617736.17
"533",2016,"CO",5686070.82
"534",2016,"CT",618477.58
"535",2016,"DE",195983.44
"536",2016,"FL",9328873.77
"537",2016,"GA",10049493.04
"538",2016,"GU",41206
"539",2016,"HI",2224311
"540",2016,"IA",415771
"541",2016,"ID",408727
"542",2016,"IL",196611
"543",2016,"IN",441127
"544",2016,"KS",417202
"545",2016,"KY",623009
"546",2016,"LA",196818
"547",2016,"MA",678048.09
"548",2016,"MD",173024
"549",2016,"ME",26386
"550",2016,"MI",1145637.5
"551",2016,"MN",759486.55
"552",2016,"MO",879289
"553",2016,"MS",1661463
"554",2016,"MT",9004594.32
"555",2016,"NC",6890161.23
"556",2016,"ND",2526509
"557",2016,"NE",593936
"558",2016,"NH",160749
"559",2016,"NJ",946253
"560",2016,"NM",7751095.19
"561",2016,"NV",1074009
"562",2016,"NY",3960939.06
"563",2016,"OH",1192175
"564",2016,"OK",771245.33
"565",2016,"OR",1335708.23
"566",2016,"PA",460897
"567",2016,"PR",608574.17
"568",2016,"RI",308099
"569",2016,"SC",3995950.31
"570",2016,"SD",23778347
"571",2016,"TN",2182213
"572",2016,"TX",4696988.46
"573",2016,"UT",1093494
"574",2016,"VA",413573.49
"575",2016,"VI",102872
"576",2016,"VT",92003
"577",2016,"WA",1014656
"578",2016,"WI",1719434
"579",2016,"WV",177235
"580",2016,"WY",6794020
"581",2017,"AL",6501223.09
"582",2017,"AR",12105032.38
"583",2017,"AS",23231
"584",2017,"AZ",220599
"585",2017,"CA",1420359
"586",2017,"CO",4929366
"587",2017,"CT",178475
"588",2017,"DC",47311
"589",2017,"DE",47647
"590",2017,"FL",11291090.99
"591",2017,"GA",2286504.38
"592",2017,"GU",6763
"593",2017,"HI",2634461
"594",2017,"IA",500528
"595",2017,"ID",401153
"596",2017,"IL",191374
"597",2017,"IN",556791
"598",2017,"KS",242912.5
"599",2017,"KY",675356
"600",2017,"LA",154508.64
"601",2017,"MA",244339
"602",2017,"MD",108131
"603",2017,"ME",22891
"604",2017,"MI",1544137
"605",2017,"MN",200174
"606",2017,"MO",8156516
"607",2017,"MS",1339204
"608",2017,"MT",21049521.61
"609",2017,"NC",3193909.46
"610",2017,"ND",8805279
"611",2017,"NE",902558
"612",2017,"NH",31371
"613",2017,"NJ",1192934.23
"614",2017,"NM",6868947.71
"615",2017,"NV",35422
"616",2017,"NY",3621845
"617",2017,"OH",996708.16
"618",2017,"OK",1588838.45
"619",2017,"OR",1004927
"620",2017,"PA",178426
"621",2017,"PR",894372.47
"622",2017,"RI",108786
"623",2017,"SC",785402
"624",2017,"SD",50818580
"625",2017,"TN",276433
"626",2017,"TX",5637270.87
"627",2017,"UT",450038
"628",2017,"VA",384981.32
"629",2017,"VI",30799
"630",2017,"VT",274328
"631",2017,"WA",614724
"632",2017,"WI",3055803
"633",2017,"WV",139235
"634",2017,"WY",1991621
"635",2018,"AK",63686
"636",2018,"AL",1146270.59
"637",2018,"AR",16347364.64
"638",2018,"AS",53425
"639",2018,"AZ",498093
"640",2018,"CA",2535205
"641",2018,"CO",16702316.92
"642",2018,"CT",423570
"643",2018,"DE",143255
"644",2018,"FL",7555303.99
"645",2018,"GA",2946350.65
"646",2018,"GU",113002
"647",2018,"HI",3023452
"648",2018,"IA",94268
"649",2018,"ID",399354
"650",2018,"IL",217319
"651",2018,"IN",547089
"652",2018,"KS",550594
"653",2018,"KY",691071.67
"654",2018,"LA",560811
"655",2018,"MA",810515
"656",2018,"MD",54819
"657",2018,"ME",190947
"658",2018,"MI",1136240
"659",2018,"MN",321324
"660",2018,"MO",6266395
"661",2018,"MP",23466
"662",2018,"MS",2912623
"663",2018,"MT",2277834.27
"664",2018,"NC",6278223.45
"665",2018,"ND",434240
"666",2018,"NE",545365
"667",2018,"NH",189512
"668",2018,"NJ",1784910
"669",2018,"NM",14457952.52
"670",2018,"NV",719084
"671",2018,"NY",3328889
"672",2018,"OH",1119759
"673",2018,"OK",16665522.27
"674",2018,"OR",2407324
"675",2018,"PA",664218
"676",2018,"PR",1315367.45
"677",2018,"RI",285407
"678",2018,"SC",1147393
"679",2018,"SD",2680621
"680",2018,"TN",653983
"681",2018,"TX",25466505.35
"682",2018,"UT",4582548
"683",2018,"VA",1503339
"684",2018,"VT",19664
"685",2018,"WA",785005
"686",2018,"WI",2476470
"687",2018,"WV",133163
"688",2018,"WY",395011
"689",2019,"AL",2920760.37
"690",2019,"AR",2373919.97
"691",2019,"AZ",400375.74
"692",2019,"CA",1226246.8
"693",2019,"CO",5877653
"694",2019,"CT",148891
"695",2019,"FL",8538333.13
"696",2019,"GA",4433856.18
"697",2019,"GU",20846
"698",2019,"HI",1337899
"699",2019,"IA",40233
"700",2019,"ID",579090
"701",2019,"IL",1159024
"702",2019,"IN",845102
"703",2019,"KS",233369.07
"704",2019,"KY",398008
"705",2019,"LA",124136
"706",2019,"MA",139505
"707",2019,"MD",302872
"708",2019,"ME",8400
"709",2019,"MI",1838279.6
"710",2019,"MN",278087.72
"711",2019,"MO",1387138.88
"712",2019,"MS",1717762.84
"713",2019,"MT",5498693.41
"714",2019,"NC",5461954.5
"715",2019,"ND",320218
"716",2019,"NE",643733.7
"717",2019,"NH",253961
"718",2019,"NJ",1556350
"719",2019,"NM",27553718.04
"720",2019,"NV",4567
"721",2019,"NY",1678514
"722",2019,"OH",7792756.53
"723",2019,"OK",3052244
"724",2019,"OR",98888
"725",2019,"PA",534921
"726",2019,"PR",24290
"727",2019,"RI",344856.26
"728",2019,"SC",4580484
"729",2019,"SD",1692701
"730",2019,"TN",803826
"731",2019,"TX",6861283.61
"732",2019,"UT",78594
"733",2019,"VA",2369396.91
"734",2019,"VT",12352
"735",2019,"WA",2023436
"736",2019,"WI",2924592
"737",2019,"WV",235815
"738",2019,"WY",56703.27
"739",2019,NA,212998
"740",2020,"AK",1240
"741",2020,"AL",92899
"742",2020,"AP",1294
"743",2020,"AR",7152097.73
"744",2020,"AZ",1309937.64
"745",2020,"CA",4267520.24
"746",2020,"CO",16747666.33
"747",2020,"CT",85903.25
"748",2020,"FL",2686926.59
"749",2020,"GA",1054891
"750",2020,"HI",520410
"751",2020,"IA",960664
"752",2020,"ID",195744
"753",2020,"IL",462040
"754",2020,"IN",350670
"755",2020,"KS",1275498.99
"756",2020,"KY",411720
"757",2020,"LA",69157
"758",2020,"MA",339711
"759",2020,"MD",85478
"760",2020,"ME",77405
"761",2020,"MI",1404674
"762",2020,"MN",131750
"763",2020,"MO",2053856.12
"764",2020,"MS",397549.91
"765",2020,"MT",4652064
"766",2020,"NC",8762025.3
"767",2020,"ND",755220
"768",2020,"NE",2160742.1
"769",2020,"NH",99807.15
"770",2020,"NJ",1525148
"771",2020,"NM",31925133.35
"772",2020,"NV",732402
"773",2020,"NY",1659960
"774",2020,"OH",1321322
"775",2020,"OK",14572732
"776",2020,"OR",1786551.42
"777",2020,"PA",461574
"778",2020,"PR",90549
"779",2020,"RI",147460
"780",2020,"SC",2092404.42
"781",2020,"SD",6382503
"782",2020,"TN",319966
"783",2020,"TX",25901812.43
"784",2020,"UT",4564717.9
"785",2020,"VA",4594966.5
"786",2020,"VT",80046
"787",2020,"WA",895127
"788",2020,"WI",1868679
"789",2020,"WV",98165
"790",2020,"WY",12051405
"791",2021,"AK",14837
"792",2021,"AL",144524
"793",2021,"AP",1246
"794",2021,"AR",2598522
"795",2021,"AZ",411039.53
"796",2021,"CA",16190793.49
"797",2021,"CO",10321159.12
"798",2021,"CT",875405
"799",2021,"DE",402756
"800",2021,"FL",2982058.77
"801",2021,"GA",2633654.25
"802",2021,"GU",13073
"803",2021,"HI",1052641
"804",2021,"IA",768762
"805",2021,"ID",2992836.57
"806",2021,"IL",223551
"807",2021,"IN",1179345
"808",2021,"KS",168442.42
"809",2021,"KY",285909
"810",2021,"LA",126433
"811",2021,"MA",766373
"812",2021,"MD",11693
"813",2021,"ME",13591
"814",2021,"MI",1633609
"815",2021,"MN",286642
"816",2021,"MO",419605
"817",2021,"MS",2230308
"818",2021,"MT",29398632.47
"819",2021,"NC",6627108.21
"820",2021,"ND",11649159.86
"821",2021,"NE",1685408.92
"822",2021,"NH",383681
"823",2021,"NJ",1472392
"824",2021,"NM",7035562
"825",2021,"NV",1416140.25
"826",2021,"NY",2888724
"827",2021,"OH",900379
"828",2021,"OK",6268625.09
"829",2021,"OR",5996183
"830",2021,"PA",605866
"831",2021,"RI",352990
"832",2021,"SC",1229309
"833",2021,"SD",45893409
"834",2021,"TN",668029
"835",2021,"TX",9389737.97
"836",2021,"UT",5999354.2
"837",2021,"VA",7960045
"838",2021,"VT",216203
"839",2021,"WA",1884642
"840",2021,"WI",1890497
"841",2021,"WV",46304
"842",2021,"WY",16825114.99
"843",2022,"AK",13862
"844",2022,"AL",170845
"845",2022,"AP",1070
"846",2022,"AR",30398993.34
"847",2022,"AZ",83895
"848",2022,"CA",12529973.75
"849",2022,"CO",8433021.28
"850",2022,"CT",200257
"851",2022,"FL",6676356
"852",2022,"GA",3489702.9
"853",2022,"GU",7403
"854",2022,"HI",1682719
"855",2022,"IA",938520
"856",2022,"ID",375864
"857",2022,"IL",408153
"858",2022,"IN",1591166
"859",2022,"KS",2612693
"860",2022,"KY",314813
"861",2022,"LA",583773
"862",2022,"MA",800708
"863",2022,"MD",5199
"864",2022,"ME",38205
"865",2022,"MI",1009897
"866",2022,"MN",78867.43
"867",2022,"MO",5129829.61
"868",2022,"MS",987932.97
"869",2022,"MT",11873240.19
"870",2022,"NC",4251759
"871",2022,"ND",287639
"872",2022,"NE",3930873.64
"873",2022,"NH",91248
"874",2022,"NJ",1118912
"875",2022,"NM",16662487.65
"876",2022,"NV",1739886
"877",2022,"NY",1981108
"878",2022,"OH",1718126.29
"879",2022,"OK",62029400.39
"880",2022,"OR",4797438
"881",2022,"PA",831474
"882",2022,"PR",3644373.36
"883",2022,"RI",245235
"884",2022,"SC",3942226
"885",2022,"SD",20577422
"886",2022,"TN",349686
"887",2022,"TX",67104786.17
"888",2022,"UT",4642680.74
"889",2022,"VA",9119550.83
"890",2022,"VI",11150
"891",2022,"VT",323076
"892",2022,"WA",322588
"893",2022,"WI",212699.83
"894",2022,"WV",44769
"895",2022,"WY",2033549
"896",2023,"AL",420740
"897",2023,"AR",3241755
"898",2023,"AZ",60404
"899",2023,"CA",429448
"900",2023,"CO",2016395.57
"901",2023,"CT",650101
"902",2023,"DE",29181
"903",2023,"FL",4419036
"904",2023,"GA",1281094
"905",2023,"GU",78189
"906",2023,"HI",194350
"907",2023,"IA",224355
"908",2023,"ID",68527
"909",2023,"IL",62945
"910",2023,"IN",266310
"911",2023,"KS",399190
"912",2023,"KY",272551
"913",2023,"LA",119283
"914",2023,"MA",183241
"915",2023,"MD",2589
"916",2023,"ME",112884
"917",2023,"MI",938530
"918",2023,"MN",93929
"919",2023,"MO",34620
"920",2023,"MS",14665
"921",2023,"MT",501316
"922",2023,"NC",5384309
"923",2023,"ND",282587
"924",2023,"NE",351563
"925",2023,"NH",160615
"926",2023,"NJ",564777
"927",2023,"NM",8022598
"928",2023,"NV",120248
"929",2023,"NY",1473702
"930",2023,"OH",1147837
"931",2023,"OK",17474443.8
"932",2023,"OR",100275
"933",2023,"PA",124152
"934",2023,"RI",163559
"935",2023,"SC",401672
"936",2023,"SD",1316814
"937",2023,"TN",320617
"938",2023,"TX",5842932.21
"939",2023,"UT",8538
"940",2023,"VA",5672413.06
"941",2023,"VI",43231
"942",2023,"VT",458229
"943",2023,"WA",476555
"944",2023,"WI",7239
"945",2023,"WV",68092
"946",2023,"WY",127455
