commodity,croptype
Alfalfa Seed,non
All Other Citrus Trees,spec
All Other Commodities,spec
Almonds,spec
Annual Forage,spec
Apiculture,spec
Apples,spec
Avocado Trees,spec
Avocados,spec
Barley,non
Blueberries,spec
Buckwheat,non
Burley Tobacco,non
Cabbage,spec
Camelina,non
Caneberries,spec
Canola,non
Carambola Trees,spec
Cherries,spec
Chile Peppers,spec
Cigar Binder Tobacco,non
Cigar Filler Tobacco,non
Cigar Wrapper Tobacco,non
Clams,non
Clary Sage,spec
Coffee,spec
Coffee Tree,spec
Corn,non
Cotton,non
Cotton Ex Long Staple,non
Cranberries,spec
Cucumbers,spec
Cultivated Wild Rice,non
Dark Air Tobacco,non
Dry Beans,non
Dry Peas,spec
Figs,spec
Fire Cured Tobacco,non
Flax,non
Flue Cured Tobacco,non
Forage Production,non
Forage Seeding,non
Fresh Apricots,spec
Fresh Freestone Peaches,spec
Fresh Market Beans,spec
Fresh Market Sweet Corn,spec
Fresh Market Tomatoes,spec
Fresh Nectarines,spec
Grain Sorghum,non
Grapefruit,spec
Grapefruit Trees,spec
Grapes,spec
Grapevine,spec
Grass Seed,non
Green Peas,spec
Hemp,non
Hybrid Corn Seed,non
Hybrid Popcorn Seed,non
Hybrid Seed Rice,non
Hybrid Sorghum Seed,non
Hybrid Sweet Corn Seed,non
Hybrid Vegetable Seed,non
Kiwifruit,spec
Lemon Trees,spec
Lemons,spec
Lime Trees,spec
Macadamia Trees,spec
Mandarin/Tangerine Trees,spec
Mandarins/Tangerines,spec
Mango Trees,spec
Micro Farm,spec
Millet,non
Mint,spec
Mustard,spec
Nursery (FG&C),spec
Nursery (NVS),spec
Oats,non
Olives,spec
Onions,spec
Orange Trees,spec
Oranges,spec
Papaya,spec
Papaya Tree,spec
"Pasture,Rangeland,Forage",non
Peaches,spec
Peanuts,non
Pears,spec
Pecans,spec
Peppers,spec
Pistachios,spec
Plums,spec
Pomegranates,spec
Popcorn,non
Potatoes,spec
Processing Apricots,spec
Processing Beans,non
Processing Cling Peaches,spec
Processing Freestone,spec
Prunes,spec
Pumpkins,spec
Rice,non
Rye,non
Safflower,non
Sesame,non
Silage Sorghum,non
Soybeans,non
Strawberries,spec
Sugar Beets,spec
Sugarcane,spec
Sunflowers,spec
Sweet Corn,spec
Sweet Potatoes,spec
Table Grapes,spec
Tangelos,spec
Tangerine Trees,spec
Tangors,spec
Tomatoes,spec
Triticale,non
Walnuts,spec
Wheat,non
Whole Farm Revenue Protection,spec