county,2020,2021,2022,2023
"Beaverhead County, Montana","9,382","9,553","9,747","9,885"
"Big Horn County, Montana","13,080","12,893","12,826","12,751"
"Blaine County, Montana","7,007","7,003","6,972","6,899"
"Broadwater County, Montana","6,860","7,323","7,771","8,032"
"Carbon County, Montana","10,505","10,889","11,236","11,419"
"Carter County, Montana","1,404","1,413","1,403","1,418"
"Cascade County, Montana","84,407","84,551","85,001","84,900"
"Chouteau County, Montana","5,899","5,921","5,908","5,847"
"Custer County, Montana","11,866","11,961","12,000","11,985"
"Daniels County, Montana","1,654","1,671","1,645","1,633"
"Dawson County, Montana","8,924","8,858","8,807","8,810"
"Deer Lodge County, Montana","9,420","9,518","9,544","9,673"
"Fallon County, Montana","3,029","3,011","3,050","2,994"
"Fergus County, Montana","11,475","11,622","11,672","11,772"
"Flathead County, Montana","104,876","108,769","111,885","113,679"
"Gallatin County, Montana","119,597","123,098","124,938","126,409"
"Garfield County, Montana","1,172","1,208","1,218","1,211"
"Glacier County, Montana","13,745","13,724","13,650","13,609"
"Golden Valley County, Montana",821,815,826,835
"Granite County, Montana","3,312","3,360","3,497","3,595"
"Hill County, Montana","16,271","16,220","16,118","16,276"
"Jefferson County, Montana","12,142","12,468","12,831","13,048"
"Judith Basin County, Montana","2,020","2,038","2,079","2,093"
"Lake County, Montana","31,258","32,090","32,853","33,338"
"Lewis and Clark County, Montana","71,177","72,507","73,784","75,011"
"Liberty County, Montana","1,954","1,933","1,974","1,974"
"Lincoln County, Montana","19,734","20,582","21,510","21,895"
"McCone County, Montana","1,728","1,709","1,711","1,676"
"Madison County, Montana","8,661","8,953","9,252","9,521"
"Meagher County, Montana","1,920","1,958","2,026","2,071"
"Mineral County, Montana","4,568","4,859","5,020","5,090"
"Missoula County, Montana","118,347","119,841","121,011","121,849"
"Musselshell County, Montana","4,750","4,908","5,169","5,308"
"Park County, Montana","17,223","17,515","17,753","17,903"
"Petroleum County, Montana",499,518,521,554
"Phillips County, Montana","4,213","4,210","4,228","4,249"
"Pondera County, Montana","5,878","6,018","6,092","6,125"
"Powder River County, Montana","1,696","1,710","1,732","1,743"
"Powell County, Montana","6,942","7,025","7,078","7,133"
"Prairie County, Montana","1,091","1,097","1,108","1,112"
"Ravalli County, Montana","44,411","46,084","47,177","47,738"
"Richland County, Montana","11,534","11,329","11,230","11,173"
"Roosevelt County, Montana","10,801","10,788","10,537","10,319"
"Rosebud County, Montana","8,309","8,086","8,152","8,160"
"Sanders County, Montana","12,458","12,944","13,384","13,684"
"Sheridan County, Montana","3,540","3,576","3,555","3,498"
"Silver Bow County, Montana","35,210","35,502","35,947","36,360"
"Stillwater County, Montana","9,003","9,024","9,169","9,173"
"Sweet Grass County, Montana","3,670","3,702","3,727","3,763"
"Teton County, Montana","6,252","6,275","6,346","6,430"
"Toole County, Montana","4,972","4,992","5,077","5,133"
"Treasure County, Montana",759,768,754,772
"Valley County, Montana","7,556","7,560","7,542","7,474"
"Wheatland County, Montana","2,076","2,042","2,038","2,057"
"Wibaux County, Montana",935,936,927,910
"Yellowstone County, Montana","165,218","167,438","169,870","170,843"