year,state,commodity,value
2022,ALABAMA,VEGETABLE TOTALS,15392
2022,ALASKA,VEGETABLE TOTALS,745
2022,ARIZONA,VEGETABLE TOTALS,140992
2022,ARKANSAS,VEGETABLE TOTALS,14105
2022,CALIFORNIA,VEGETABLE TOTALS,1190930
2022,COLORADO,VEGETABLE TOTALS,79513
2022,CONNECTICUT,VEGETABLE TOTALS,6862
2022,DELAWARE,VEGETABLE TOTALS,22819
2022,FLORIDA,VEGETABLE TOTALS,274766
2022,GEORGIA,VEGETABLE TOTALS,98785
2022,HAWAII,VEGETABLE TOTALS,7731
2022,IDAHO,VEGETABLE TOTALS,337060
2022,ILLINOIS,VEGETABLE TOTALS,56304
2022,INDIANA,VEGETABLE TOTALS,38483
2022,IOWA,VEGETABLE TOTALS,7590
2022,KANSAS,VEGETABLE TOTALS,4275
2022,KENTUCKY,VEGETABLE TOTALS,7845
2022,LOUISIANA,VEGETABLE TOTALS,9615
2022,MAINE,VEGETABLE TOTALS,66290
2022,MARYLAND,VEGETABLE TOTALS,21583
2022,MASSACHUSETTS,VEGETABLE TOTALS,17217
2022,MICHIGAN,VEGETABLE TOTALS,152833
2022,MINNESOTA,VEGETABLE TOTALS,205632
2022,MISSISSIPPI,VEGETABLE TOTALS,37017
2022,MISSOURI,VEGETABLE TOTALS,16777
2022,MONTANA,VEGETABLE TOTALS,13128
2022,NEBRASKA,VEGETABLE TOTALS,22966
2022,NEVADA,VEGETABLE TOTALS,13058
2022,NEW HAMPSHIRE,VEGETABLE TOTALS,3141
2022,NEW JERSEY,VEGETABLE TOTALS,42954
2022,NEW MEXICO,VEGETABLE TOTALS,24973
2022,NEW YORK,VEGETABLE TOTALS,109617
2022,NORTH CAROLINA,VEGETABLE TOTALS,146627
2022,NORTH DAKOTA,VEGETABLE TOTALS,79170
2022,OHIO,VEGETABLE TOTALS,33604
2022,OKLAHOMA,VEGETABLE TOTALS,6628
2022,OREGON,VEGETABLE TOTALS,145578
2022,PENNSYLVANIA,VEGETABLE TOTALS,39157
2022,RHODE ISLAND,VEGETABLE TOTALS,1970
2022,SOUTH CAROLINA,VEGETABLE TOTALS,37811
2022,SOUTH DAKOTA,VEGETABLE TOTALS,953
2022,TENNESSEE,VEGETABLE TOTALS,22138
2022,TEXAS,VEGETABLE TOTALS,105172
2022,UTAH,VEGETABLE TOTALS,6137
2022,VERMONT,VEGETABLE TOTALS,3959
2022,VIRGINIA,VEGETABLE TOTALS,19623
2022,WASHINGTON,VEGETABLE TOTALS,357933
2022,WEST VIRGINIA,VEGETABLE TOTALS,3051
2022,WISCONSIN,VEGETABLE TOTALS,234179
2022,WYOMING,VEGETABLE TOTALS,997