year,state,county,commodity,value
2022,FLORIDA,MARTIN,CUT CHRISTMAS TREES,5
2022,COLORADO,ADAMS,CUT CHRISTMAS TREES,6
2022,OKLAHOMA,OKFUSKEE,CUT CHRISTMAS TREES,6
2022,WEST VIRGINIA,JACKSON,CUT CHRISTMAS TREES,6
2022,NEW MEXICO,RIO ARRIBA,CUT CHRISTMAS TREES,7
2022,KENTUCKY,SPENCER,CUT CHRISTMAS TREES,9
2022,TEXAS,WHARTON,CUT CHRISTMAS TREES,9
2022,MISSOURI,CEDAR,CUT CHRISTMAS TREES,12
2022,NORTH CAROLINA,DURHAM,CUT CHRISTMAS TREES,12
2022,ILLINOIS,LIVINGSTON,CUT CHRISTMAS TREES,15
2022,WEST VIRGINIA,CABELL,CUT CHRISTMAS TREES,15
2022,CALIFORNIA,TULARE,CUT CHRISTMAS TREES,18
2022,FLORIDA,PINELLAS,CUT CHRISTMAS TREES,20
2022,GEORGIA,CHATTOOGA,CUT CHRISTMAS TREES,20
2022,MISSISSIPPI,TIPPAH,CUT CHRISTMAS TREES,20
2022,KANSAS,BROWN,CUT CHRISTMAS TREES,24
2022,KENTUCKY,MARSHALL,CUT CHRISTMAS TREES,24
2022,TEXAS,HILL,CUT CHRISTMAS TREES,24
2022,TEXAS,HARDIN,CUT CHRISTMAS TREES,25
2022,ALABAMA,SAINT CLAIR,CUT CHRISTMAS TREES,30
2022,KENTUCKY,KENTON,CUT CHRISTMAS TREES,30
2022,SOUTH CAROLINA,SPARTANBURG,CUT CHRISTMAS TREES,30
2022,VIRGINIA,CAMPBELL,CUT CHRISTMAS TREES,30
2022,WYOMING,LINCOLN,CUT CHRISTMAS TREES,30
2022,NEW MEXICO,TAOS,CUT CHRISTMAS TREES,34
2022,IOWA,SIOUX,CUT CHRISTMAS TREES,36
2022,MICHIGAN,CRAWFORD,CUT CHRISTMAS TREES,40
2022,TEXAS,SAN JACINTO,CUT CHRISTMAS TREES,40
2022,ALABAMA,ETOWAH,CUT CHRISTMAS TREES,45
2022,WASHINGTON,OKANOGAN,CUT CHRISTMAS TREES,45
2022,UTAH,SANPETE,CUT CHRISTMAS TREES,46
2022,GEORGIA,COWETA,CUT CHRISTMAS TREES,48
2022,WASHINGTON,JEFFERSON,CUT CHRISTMAS TREES,48
2022,KENTUCKY,GRANT,CUT CHRISTMAS TREES,52
2022,MARYLAND,WORCESTER,CUT CHRISTMAS TREES,53
2022,OHIO,MORGAN,CUT CHRISTMAS TREES,58
2022,KENTUCKY,CALDWELL,CUT CHRISTMAS TREES,60
2022,KENTUCKY,PENDLETON,CUT CHRISTMAS TREES,60
2022,COLORADO,PARK,CUT CHRISTMAS TREES,65
2022,MINNESOTA,STEARNS,CUT CHRISTMAS TREES,65
2022,COLORADO,ELBERT,CUT CHRISTMAS TREES,70
2022,MINNESOTA,CASS,CUT CHRISTMAS TREES,74
2022,GEORGIA,MURRAY,CUT CHRISTMAS TREES,75
2022,UTAH,WASATCH,CUT CHRISTMAS TREES,75
2022,FLORIDA,BROWARD,CUT CHRISTMAS TREES,76
2022,KENTUCKY,MAGOFFIN,CUT CHRISTMAS TREES,80
2022,MICHIGAN,KEWEENAW,CUT CHRISTMAS TREES,80
2022,OHIO,GUERNSEY,CUT CHRISTMAS TREES,82
2022,MISSISSIPPI,WALTHALL,CUT CHRISTMAS TREES,88
2022,KANSAS,FRANKLIN,CUT CHRISTMAS TREES,89
2022,MINNESOTA,HENNEPIN,CUT CHRISTMAS TREES,90
2022,NEBRASKA,CASS,CUT CHRISTMAS TREES,90
2022,NEBRASKA,KNOX,CUT CHRISTMAS TREES,90
2022,PENNSYLVANIA,ELK,CUT CHRISTMAS TREES,90
2022,SOUTH CAROLINA,CHESTER,CUT CHRISTMAS TREES,90
2022,KENTUCKY,HARRISON,CUT CHRISTMAS TREES,96
2022,MISSOURI,CALLAWAY,CUT CHRISTMAS TREES,96
2022,NORTH CAROLINA,ORANGE,CUT CHRISTMAS TREES,100
2022,WEST VIRGINIA,HARDY,CUT CHRISTMAS TREES,100
2022,IDAHO,BONNEVILLE,CUT CHRISTMAS TREES,108
2022,KENTUCKY,JOHNSON,CUT CHRISTMAS TREES,108
2022,NEW YORK,JEFFERSON,CUT CHRISTMAS TREES,112
2022,OKLAHOMA,CADDO,CUT CHRISTMAS TREES,115
2022,GEORGIA,COBB,CUT CHRISTMAS TREES,120
2022,GEORGIA,JACKSON,CUT CHRISTMAS TREES,120
2022,INDIANA,LAKE,CUT CHRISTMAS TREES,120
2022,NORTH CAROLINA,MACON,CUT CHRISTMAS TREES,122
2022,OHIO,SENECA,CUT CHRISTMAS TREES,128
2022,INDIANA,MONTGOMERY,CUT CHRISTMAS TREES,130
2022,MINNESOTA,DODGE,CUT CHRISTMAS TREES,130
2022,MINNESOTA,WINONA,CUT CHRISTMAS TREES,132
2022,MARYLAND,ALLEGANY,CUT CHRISTMAS TREES,138
2022,FLORIDA,OKALOOSA,CUT CHRISTMAS TREES,140
2022,MONTANA,GALLATIN,CUT CHRISTMAS TREES,145
2022,FLORIDA,MADISON,CUT CHRISTMAS TREES,150
2022,MISSOURI,TEXAS,CUT CHRISTMAS TREES,150
2022,NORTH CAROLINA,PERSON,CUT CHRISTMAS TREES,150
2022,SOUTH DAKOTA,BROOKINGS,CUT CHRISTMAS TREES,150
2022,WASHINGTON,DOUGLAS,CUT CHRISTMAS TREES,150
2022,CALIFORNIA,SHASTA,CUT CHRISTMAS TREES,156
2022,MISSOURI,RAY,CUT CHRISTMAS TREES,156
2022,GEORGIA,UNION,CUT CHRISTMAS TREES,160
2022,SOUTH CAROLINA,NEWBERRY,CUT CHRISTMAS TREES,165
2022,OREGON,COOS,CUT CHRISTMAS TREES,168
2022,WISCONSIN,BURNETT,CUT CHRISTMAS TREES,174
2022,NEBRASKA,SARPY,CUT CHRISTMAS TREES,178
2022,OHIO,JEFFERSON,CUT CHRISTMAS TREES,180
2022,MINNESOTA,CROW WING,CUT CHRISTMAS TREES,190
2022,ARKANSAS,ASHLEY,CUT CHRISTMAS TREES,195
2022,VIRGINIA,HALIFAX,CUT CHRISTMAS TREES,200
2022,IOWA,CLARKE,CUT CHRISTMAS TREES,207
2022,KENTUCKY,CAMPBELL,CUT CHRISTMAS TREES,210
2022,MICHIGAN,SHIAWASSEE,CUT CHRISTMAS TREES,210
2022,NEBRASKA,BUFFALO,CUT CHRISTMAS TREES,210
2022,MICHIGAN,BARRY,CUT CHRISTMAS TREES,215
2022,PENNSYLVANIA,VENANGO,CUT CHRISTMAS TREES,216
2022,OREGON,CLATSOP,CUT CHRISTMAS TREES,218
2022,COLORADO,LARIMER,CUT CHRISTMAS TREES,227
2022,COLORADO,ROUTT,CUT CHRISTMAS TREES,227
2022,WEST VIRGINIA,BARBOUR,CUT CHRISTMAS TREES,227
2022,ARKANSAS,GREENE,CUT CHRISTMAS TREES,228
2022,MICHIGAN,ARENAC,CUT CHRISTMAS TREES,232
2022,NEW YORK,DELAWARE,CUT CHRISTMAS TREES,232
2022,OHIO,PERRY,CUT CHRISTMAS TREES,233
2022,WISCONSIN,MONROE,CUT CHRISTMAS TREES,235
2022,ILLINOIS,JERSEY,CUT CHRISTMAS TREES,240
2022,MINNESOTA,ROSEAU,CUT CHRISTMAS TREES,240
2022,INDIANA,JENNINGS,CUT CHRISTMAS TREES,250
2022,WISCONSIN,WASHBURN,CUT CHRISTMAS TREES,259
2022,OHIO,MADISON,CUT CHRISTMAS TREES,260
2022,FLORIDA,ALACHUA,CUT CHRISTMAS TREES,262
2022,WASHINGTON,WHITMAN,CUT CHRISTMAS TREES,264
2022,INDIANA,DEARBORN,CUT CHRISTMAS TREES,272
2022,SOUTH CAROLINA,ORANGEBURG,CUT CHRISTMAS TREES,275
2022,PENNSYLVANIA,JEFFERSON,CUT CHRISTMAS TREES,281
2022,TEXAS,HUNT,CUT CHRISTMAS TREES,285
2022,CALIFORNIA,LOS ANGELES,CUT CHRISTMAS TREES,300
2022,KENTUCKY,PULASKI,CUT CHRISTMAS TREES,300
2022,MICHIGAN,OTSEGO,CUT CHRISTMAS TREES,300
2022,VIRGINIA,FAIRFAX,CUT CHRISTMAS TREES,300
2022,VIRGINIA,ROCKBRIDGE,CUT CHRISTMAS TREES,304
2022,OHIO,SCIOTO,CUT CHRISTMAS TREES,310
2022,NEW YORK,ORLEANS,CUT CHRISTMAS TREES,311
2022,GEORGIA,WASHINGTON,CUT CHRISTMAS TREES,312
2022,DELAWARE,NEW CASTLE,CUT CHRISTMAS TREES,313
2022,ARKANSAS,LOGAN,CUT CHRISTMAS TREES,315
2022,IOWA,SCOTT,CUT CHRISTMAS TREES,315
2022,ALABAMA,JACKSON,CUT CHRISTMAS TREES,325
2022,VIRGINIA,RAPPAHANNOCK,CUT CHRISTMAS TREES,325
2022,WEST VIRGINIA,NICHOLAS,CUT CHRISTMAS TREES,346
2022,COLORADO,DOUGLAS,CUT CHRISTMAS TREES,350
2022,OHIO,MONROE,CUT CHRISTMAS TREES,350
2022,INDIANA,CLAY,CUT CHRISTMAS TREES,360
2022,LOUISIANA,CADDO,CUT CHRISTMAS TREES,360
2022,PENNSYLVANIA,SOMERSET,CUT CHRISTMAS TREES,365
2022,WEST VIRGINIA,WOOD,CUT CHRISTMAS TREES,367
2022,WISCONSIN,RACINE,CUT CHRISTMAS TREES,367
2022,MARYLAND,ST MARYS,CUT CHRISTMAS TREES,368
2022,GEORGIA,LUMPKIN,CUT CHRISTMAS TREES,372
2022,ALABAMA,TUSCALOOSA,CUT CHRISTMAS TREES,375
2022,WASHINGTON,WAHKIAKUM,CUT CHRISTMAS TREES,380
2022,WEST VIRGINIA,PENDLETON,CUT CHRISTMAS TREES,390
2022,IOWA,LINN,CUT CHRISTMAS TREES,392
2022,TENNESSEE,KNOX,CUT CHRISTMAS TREES,394
2022,IDAHO,CLEARWATER,CUT CHRISTMAS TREES,396
2022,TENNESSEE,PUTNAM,CUT CHRISTMAS TREES,399
2022,NORTH CAROLINA,TRANSYLVANIA,CUT CHRISTMAS TREES,400
2022,PENNSYLVANIA,CAMERON,CUT CHRISTMAS TREES,404
2022,MISSISSIPPI,COPIAH,CUT CHRISTMAS TREES,405
2022,MICHIGAN,PRESQUE ISLE,CUT CHRISTMAS TREES,410
2022,INDIANA,DUBOIS,CUT CHRISTMAS TREES,411
2022,INDIANA,VANDERBURGH,CUT CHRISTMAS TREES,414
2022,WISCONSIN,OUTAGAMIE,CUT CHRISTMAS TREES,431
2022,WISCONSIN,RUSK,CUT CHRISTMAS TREES,432
2022,MINNESOTA,KANABEC,CUT CHRISTMAS TREES,438
2022,NEW YORK,CAYUGA,CUT CHRISTMAS TREES,438
2022,OHIO,CLARK,CUT CHRISTMAS TREES,441
2022,WASHINGTON,COWLITZ,CUT CHRISTMAS TREES,443
2022,MICHIGAN,IONIA,CUT CHRISTMAS TREES,450
2022,NEBRASKA,ADAMS,CUT CHRISTMAS TREES,450
2022,VIRGINIA,SMYTH,CUT CHRISTMAS TREES,450
2022,ILLINOIS,SANGAMON,CUT CHRISTMAS TREES,460
2022,INDIANA,HARRISON,CUT CHRISTMAS TREES,460
2022,WASHINGTON,WALLA WALLA,CUT CHRISTMAS TREES,460
2022,NEW YORK,ALBANY,CUT CHRISTMAS TREES,467
2022,NORTH CAROLINA,STANLY,CUT CHRISTMAS TREES,478
2022,WEST VIRGINIA,MONONGALIA,CUT CHRISTMAS TREES,478
2022,KENTUCKY,HARDIN,CUT CHRISTMAS TREES,480
2022,TENNESSEE,CANNON,CUT CHRISTMAS TREES,480
2022,HAWAII,MAUI & KALAWAO,CUT CHRISTMAS TREES,496
2022,INDIANA,PERRY,CUT CHRISTMAS TREES,500
2022,PENNSYLVANIA,CLARION,CUT CHRISTMAS TREES,500
2022,VIRGINIA,PATRICK,CUT CHRISTMAS TREES,508
2022,GEORGIA,BROOKS,CUT CHRISTMAS TREES,510
2022,ILLINOIS,JOHNSON,CUT CHRISTMAS TREES,510
2022,INDIANA,PUTNAM,CUT CHRISTMAS TREES,510
2022,INDIANA,JACKSON,CUT CHRISTMAS TREES,520
2022,KANSAS,REPUBLIC,CUT CHRISTMAS TREES,540
2022,VERMONT,RUTLAND,CUT CHRISTMAS TREES,542
2022,WASHINGTON,ISLAND,CUT CHRISTMAS TREES,546
2022,SOUTH CAROLINA,LANCASTER,CUT CHRISTMAS TREES,550
2022,WISCONSIN,LAFAYETTE,CUT CHRISTMAS TREES,552
2022,IOWA,CHEROKEE,CUT CHRISTMAS TREES,555
2022,WASHINGTON,SKAMANIA,CUT CHRISTMAS TREES,584
2022,PENNSYLVANIA,ALLEGHENY,CUT CHRISTMAS TREES,588
2022,ALABAMA,WALKER,CUT CHRISTMAS TREES,600
2022,IOWA,CRAWFORD,CUT CHRISTMAS TREES,600
2022,TENNESSEE,WARREN,CUT CHRISTMAS TREES,600
2022,WISCONSIN,FOND DU LAC,CUT CHRISTMAS TREES,600
2022,WASHINGTON,KITTITAS,CUT CHRISTMAS TREES,608
2022,NEW YORK,ESSEX,CUT CHRISTMAS TREES,609
2022,TENNESSEE,SEVIER,CUT CHRISTMAS TREES,615
2022,MISSISSIPPI,JACKSON,CUT CHRISTMAS TREES,620
2022,VIRGINIA,SHENANDOAH,CUT CHRISTMAS TREES,620
2022,NEW YORK,CLINTON,CUT CHRISTMAS TREES,627
2022,VIRGINIA,ALBEMARLE,CUT CHRISTMAS TREES,628
2022,GEORGIA,GORDON,CUT CHRISTMAS TREES,630
2022,MICHIGAN,TUSCOLA,CUT CHRISTMAS TREES,635
2022,OHIO,WASHINGTON,CUT CHRISTMAS TREES,640
2022,INDIANA,WHITLEY,CUT CHRISTMAS TREES,660
2022,MICHIGAN,LENAWEE,CUT CHRISTMAS TREES,668
2022,NEW JERSEY,SALEM,CUT CHRISTMAS TREES,672
2022,VIRGINIA,SPOTSYLVANIA,CUT CHRISTMAS TREES,684
2022,DELAWARE,KENT,CUT CHRISTMAS TREES,692
2022,COLORADO,BOULDER,CUT CHRISTMAS TREES,694
2022,IOWA,HARDIN,CUT CHRISTMAS TREES,696
2022,VIRGINIA,ISLE OF WIGHT,CUT CHRISTMAS TREES,698
2022,CALIFORNIA,HUMBOLDT,CUT CHRISTMAS TREES,701
2022,GEORGIA,WORTH,CUT CHRISTMAS TREES,708
2022,VIRGINIA,TAZEWELL,CUT CHRISTMAS TREES,720
2022,NEW YORK,MADISON,CUT CHRISTMAS TREES,723
2022,PENNSYLVANIA,FULTON,CUT CHRISTMAS TREES,737
2022,CALIFORNIA,MONTEREY,CUT CHRISTMAS TREES,743
2022,NEW HAMPSHIRE,CARROLL,CUT CHRISTMAS TREES,746
2022,SOUTH DAKOTA,MINNEHAHA,CUT CHRISTMAS TREES,748
2022,GEORGIA,DECATUR,CUT CHRISTMAS TREES,750
2022,MAINE,OXFORD,CUT CHRISTMAS TREES,760
2022,KANSAS,MIAMI,CUT CHRISTMAS TREES,770
2022,OHIO,CUYAHOGA,CUT CHRISTMAS TREES,770
2022,DELAWARE,SUSSEX,CUT CHRISTMAS TREES,775
2022,MARYLAND,QUEEN ANNES,CUT CHRISTMAS TREES,776
2022,MINNESOTA,CARLTON,CUT CHRISTMAS TREES,790
2022,WISCONSIN,ROCK,CUT CHRISTMAS TREES,791
2022,TENNESSEE,MONTGOMERY,CUT CHRISTMAS TREES,792
2022,FLORIDA,MARION,CUT CHRISTMAS TREES,806
2022,OHIO,MEIGS,CUT CHRISTMAS TREES,806
2022,NEW YORK,CHAUTAUQUA,CUT CHRISTMAS TREES,808
2022,NEW YORK,COLUMBIA,CUT CHRISTMAS TREES,809
2022,UTAH,CACHE,CUT CHRISTMAS TREES,820
2022,INDIANA,VIGO,CUT CHRISTMAS TREES,822
2022,NEW YORK,SCHOHARIE,CUT CHRISTMAS TREES,823
2022,MINNESOTA,MORRISON,CUT CHRISTMAS TREES,828
2022,MISSOURI,DAVIESS,CUT CHRISTMAS TREES,835
2022,WISCONSIN,POLK,CUT CHRISTMAS TREES,837
2022,NEW JERSEY,CAPE MAY,CUT CHRISTMAS TREES,850
2022,PENNSYLVANIA,ERIE,CUT CHRISTMAS TREES,851
2022,MASSACHUSETTS,BARNSTABLE,CUT CHRISTMAS TREES,852
2022,MASSACHUSETTS,NORFOLK,CUT CHRISTMAS TREES,852
2022,OHIO,COLUMBIANA,CUT CHRISTMAS TREES,858
2022,NEW YORK,HERKIMER,CUT CHRISTMAS TREES,868
2022,MISSISSIPPI,MARION,CUT CHRISTMAS TREES,870
2022,VIRGINIA,BEDFORD,CUT CHRISTMAS TREES,870
2022,PENNSYLVANIA,BRADFORD,CUT CHRISTMAS TREES,878
2022,KANSAS,MARION,CUT CHRISTMAS TREES,890
2022,OHIO,PICKAWAY,CUT CHRISTMAS TREES,894
2022,MONTANA,FLATHEAD,CUT CHRISTMAS TREES,895
2022,ILLINOIS,ROCK ISLAND,CUT CHRISTMAS TREES,900
2022,VIRGINIA,NELSON,CUT CHRISTMAS TREES,902
2022,ALABAMA,DE KALB,CUT CHRISTMAS TREES,910
2022,IDAHO,BENEWAH,CUT CHRISTMAS TREES,920
2022,WISCONSIN,SAUK,CUT CHRISTMAS TREES,925
2022,MAINE,SAGADAHOC,CUT CHRISTMAS TREES,950
2022,VIRGINIA,CUMBERLAND,CUT CHRISTMAS TREES,974
2022,WISCONSIN,DOOR,CUT CHRISTMAS TREES,987
2022,LOUISIANA,ACADIA,CUT CHRISTMAS TREES,999
2022,MARYLAND,KENT,CUT CHRISTMAS TREES,1000
2022,MARYLAND,GARRETT,CUT CHRISTMAS TREES,1004
2022,NEW YORK,WESTCHESTER,CUT CHRISTMAS TREES,1007
2022,WISCONSIN,ADAMS,CUT CHRISTMAS TREES,1008
2022,WISCONSIN,TREMPEALEAU,CUT CHRISTMAS TREES,1027
2022,MINNESOTA,SCOTT,CUT CHRISTMAS TREES,1029
2022,MISSISSIPPI,RANKIN,CUT CHRISTMAS TREES,1030
2022,OREGON,UNION,CUT CHRISTMAS TREES,1031
2022,WISCONSIN,FOREST,CUT CHRISTMAS TREES,1040
2022,NEW JERSEY,MERCER,CUT CHRISTMAS TREES,1044
2022,COLORADO,JEFFERSON,CUT CHRISTMAS TREES,1048
2022,KANSAS,SHAWNEE,CUT CHRISTMAS TREES,1050
2022,WEST VIRGINIA,TUCKER,CUT CHRISTMAS TREES,1070
2022,GEORGIA,FAYETTE,CUT CHRISTMAS TREES,1082
2022,WISCONSIN,JEFFERSON,CUT CHRISTMAS TREES,1090
2022,OHIO,UNION,CUT CHRISTMAS TREES,1094
2022,MISSOURI,JACKSON,CUT CHRISTMAS TREES,1095
2022,MASSACHUSETTS,BRISTOL,CUT CHRISTMAS TREES,1098
2022,CALIFORNIA,NEVADA,CUT CHRISTMAS TREES,1099
2022,OREGON,HOOD RIVER,CUT CHRISTMAS TREES,1100
2022,PENNSYLVANIA,MERCER,CUT CHRISTMAS TREES,1119
2022,OHIO,ROSS,CUT CHRISTMAS TREES,1120
2022,NEW JERSEY,CAMDEN,CUT CHRISTMAS TREES,1122
2022,OHIO,WARREN,CUT CHRISTMAS TREES,1123
2022,OHIO,MUSKINGUM,CUT CHRISTMAS TREES,1128
2022,PENNSYLVANIA,MCKEAN,CUT CHRISTMAS TREES,1129
2022,MICHIGAN,GLADWIN,CUT CHRISTMAS TREES,1130
2022,NORTH CAROLINA,JOHNSTON,CUT CHRISTMAS TREES,1131
2022,MICHIGAN,MIDLAND,CUT CHRISTMAS TREES,1132
2022,ILLINOIS,OGLE,CUT CHRISTMAS TREES,1150
2022,MINNESOTA,GOODHUE,CUT CHRISTMAS TREES,1151
2022,KANSAS,LEAVENWORTH,CUT CHRISTMAS TREES,1158
2022,MINNESOTA,WABASHA,CUT CHRISTMAS TREES,1160
2022,WEST VIRGINIA,HAMPSHIRE,CUT CHRISTMAS TREES,1162
2022,WISCONSIN,CRAWFORD,CUT CHRISTMAS TREES,1180
2022,OHIO,LAKE,CUT CHRISTMAS TREES,1189
2022,WEST VIRGINIA,BERKELEY,CUT CHRISTMAS TREES,1190
2022,GEORGIA,TWIGGS,CUT CHRISTMAS TREES,1200
2022,LOUISIANA,TANGIPAHOA,CUT CHRISTMAS TREES,1200
2022,MICHIGAN,OGEMAW,CUT CHRISTMAS TREES,1200
2022,PENNSYLVANIA,DELAWARE,CUT CHRISTMAS TREES,1200
2022,VIRGINIA,CAROLINE,CUT CHRISTMAS TREES,1204
2022,SOUTH CAROLINA,OCONEE,CUT CHRISTMAS TREES,1224
2022,ILLINOIS,CLINTON,CUT CHRISTMAS TREES,1235
2022,VIRGINIA,ROANOKE,CUT CHRISTMAS TREES,1255
2022,VIRGINIA,BUCKINGHAM,CUT CHRISTMAS TREES,1262
2022,MARYLAND,WASHINGTON,CUT CHRISTMAS TREES,1275
2022,MISSISSIPPI,JONES,CUT CHRISTMAS TREES,1300
2022,MINNESOTA,OLMSTED,CUT CHRISTMAS TREES,1327
2022,WISCONSIN,SAWYER,CUT CHRISTMAS TREES,1332
2022,WISCONSIN,VERNON,CUT CHRISTMAS TREES,1339
2022,PENNSYLVANIA,WESTMORELAND,CUT CHRISTMAS TREES,1350
2022,WISCONSIN,WASHINGTON,CUT CHRISTMAS TREES,1360
2022,WISCONSIN,PIERCE,CUT CHRISTMAS TREES,1360
2022,CALIFORNIA,SAN DIEGO,CUT CHRISTMAS TREES,1370
2022,NEW YORK,ST LAWRENCE,CUT CHRISTMAS TREES,1378
2022,INDIANA,FULTON,CUT CHRISTMAS TREES,1386
